source	target
ACTR3	SCYL1BP1
ACTR3	SLFN11
ALKBH5	LOXHD1
ALKBH5	C1orf107
GUSBL2	TMED4
GUSBL2	LOC100129580
LOC650909	ATF7
CBX7	KIAA0391
CBX7	NXPH3
CBX7	SRRM2
CBX7	SCNN1B
CBX7	RAI2
CBX7	XPC
CBX7	BBS1
CBX7	GUCA1B
CBX7	LAMB2L
CBX7	MIR1247
LEPREL1	CAMTA1
MT1M	MT2A
MT1M	MT1F
FGFR1OP2	EXOSC8
GALT	CHST12
GALT	PLEKHG3
MLEC	XRCC3
MLEC	AKT1
RPS6KA5	CD55
TSPYL2	EMILIN1
TSPYL2	ZNF33B
TSPYL2	PRR15L
LOC285900	LOC646483
LOC285900	LOC645387
GFM1	DNAJC25
GFM1	GFPT1
C1orf198	PENK
C1orf198	FHL1
C1orf198	C11orf70
C1orf198	COL8A1
SAR1A	LOC731096
SAR1A	FAM45A
SAR1A	LOC389435
SAR1A	TPM1
MGLL	DOCK6
MGLL	ABCC6
MGLL	MLEC
ZNF254	FLJ42986
CRTC2	HDHD1A
CRTC2	ZW10
CRTC2	HIF3A
CRTC2	TMEM126B
SFRS11	SAP30
SFRS11	FAM116A
SFRS11	TRIT1
SFRS11	C15orf29
SFRS11	LOC642432
SFRS11	PCYOX1L
SFRS11	BMP8B
SFRS11	CENPC1
SFRS11	NCRNA00092
SFRS11	ARFGEF1
SFRS11	ASB3
SFRS11	CHD6
SFRS11	DKK2
SFRS11	FBXO38
SFRS11	FLJ31306
SFRS11	KIAA1147
SFRS11	PCGF6
SFRS11	SP4
SFRS11	SPOPL
SFRS11	ZC3H7A
FIBP	LOC100128905
FIBP	ACOT7
FIBP	ITPA
PPM1M	TWF2
TMEM14C	TMEM14D
TLR8	NCF2
TLR8	CCR2
TLR8	LYZ
RHEB	BZW2
TERF2IP	SPATA5L1
ADNP	GNAI3
ADNP	PCSK7
ADNP	FAM188A
ADNP	SIRT1
ADNP	DR1
ADNP	SRA1
MBNL2	RPS12
MBNL2	APEX1
MBNL2	ASAP2
MBNL2	CRY1
MBNL2	DAAM1
MBNL2	RELL1
TRIP11	KATNAL1
FAM156A	RHOT2
FAM156A	SFRS8
FAM156A	SNRPA
FAM156A	ME3
FAM156A	LOC100133930
FAM156A	FAM156B
FAM156A	ANKZF1
MEX3C	C5orf53
MEX3C	NEGR1
MEX3C	ACAA1
MEX3C	RABL4
MEX3C	R3HDM2
MEX3C	TARS2
MEX3C	PSIP1
MEX3C	BAG2
MEX3C	LOC100131261
MEX3C	ANKRD17
MEX3C	ARID2
MEX3C	NOVA1
MEX3C	PIGO
AKIRIN1	PRKAR2A
AKIRIN1	DNM1L
AKIRIN1	PLEKHB2
GTF3A	ZNF529
GTF3A	KATNAL2
ACTC1	HSD17B6
PEX19	C2orf43
PEX19	ACO1
PEX19	CAMSAP1
PEX19	LOC100133895
BRPF3	GJA5
KRTCAP2	POLR2G
KRTCAP2	KIAA1875
KRTCAP2	RPP21
KRTCAP2	DPM3
KRTCAP2	SCMH1
C10orf26	EID2
MGC61598	HES1
MGC61598	HAS3
ARAF	EP300
ARAF	TANC1
ARAF	BCL7B
ARAF	CHMP6
ARAF	SNX15
GNB2	ZNF280C
LOC653635	LOC653720
LOC653635	RPS6KL1
LOC653635	LOC654155
LOC653635	LOC653034
LOC653635	TMEM198
LOC653635	FGF23
LOC653635	TRIML1
LOC653635	ACPT
LOC653635	LYPD3
LOC653635	DKFZp434M131
LOC653635	LOC652045
LOC653635	STX10
LOC653635	EPHA8
LOC653635	C14orf121
LOC653635	OR8G2
LOC653635	LOC646508
LOC653635	SLC25A45
LOC653635	ACTRT1
LOC653635	HSFYP1
LOC653635	ATXN10
LOC653635	DNA2
LOC653635	LOC100128002
LOC653635	LOC100132652
LOC653635	LOC653073
LOC653635	NOC4L
LOC653635	ZSWIM4
HIST2H2AA3	HIST2H2AC
PPP1R10	RFX1
RARA	BCL3
RARA	CBX4
RARA	SH2B3
RARA	IER5L
RARA	LOC283663
RP2	NUP50
RP2	ERO1L
RP2	CAB39
RP2	CSGALNACT2
RP2	IMAA
FZD6	PAFAH2
FZD6	LOC645489
FZD6	FAM135A
FZD6	ZC3H11B
ELP4	TMEM38B
LOC653071	LOC642398
LOC653773	EEF1AL7
LOC653773	NBPF3
TXNDC17	GTF3C6
TXNDC17	SNORA64
TXNDC17	TMED10P
TXNDC17	DEF8
LOC388654	ZNF438
LOC388654	LOC728790
SEC61A1	RPN1
SEC61A1	GPR172A
SEC61A1	CYB561
EXOSC5	C16orf91
LOC730996	REEP3
LOC730996	KIAA1688
LOC730996	VPS41
SNX29	LOC654191
CCDC76	DDX60
CCDC76	CPSF6
CCDC76	PRPF38B
KIAA0355	LOC728014
SFRS15	PRMT10
SFRS15	ASL
PPP1R14B	LOC644879
PPP1R14B	LOC729406
MSN	LPPR2
MSN	RFFL
MSN	ABCC1
MSN	CDC25B
MSN	HYOU1
ISG20	LRG1
GNAQ	ARL6IP6
GNAQ	RNF11
C7orf68	G0S2
C7orf68	EFCAB3
C7orf68	LOC100133744
M6PRBP1	OSBPL6
M6PRBP1	BST1
M6PRBP1	VENTX
M6PRBP1	FKBP11
M6PRBP1	CMTM3
FCGR2B	HTR2B
FCGR2B	CACNA2D3
FCGR2B	MAFB
FCGR2B	ITPR1
FCGR2B	CD163L1
MYH11	KCNMB1
MYH11	ITGA8
MYH11	WFDC1
MYH11	FHL5
MYH11	CACNA1H
MYH11	ACTA2
MYH11	HEY2
MYH11	SULF1
MYH11	SRL
MYH11	TCEAL2
MYH11	ACTG2
MYH11	RPESP
MYH11	NTF3
MYH11	CNN1
MYH11	PDE5A
MYH11	PLN
MYH11	RERGL
MYH11	LBH
UCHL3	NOMO3
UCHL3	CCDC53
UCHL3	OGFRL1
UCHL3	PSMA5
UCHL3	SRP19
UCHL3	LOC440043
UCHL3	ACYP2
MMRN1	TFF3
LOC645927	LOC642312
C7orf28A	PARP1
C7orf28A	LOC642062
C7orf28A	LOC345645
C7orf28A	LOC100134291
C7orf28A	LOC100130550
C7orf28A	ATF4
C7orf28A	C14orf149
C7orf28A	LOC643668
PDE12	BAG5
LRPAP1	SPNS1
LRPAP1	SSNA1
LRPAP1	SNF8
LRPAP1	SF4
LRPAP1	RRP1
NGRN	HRASLS5
NGRN	FAM104B
NGRN	SLC22A1
NGRN	LOC644517
NGRN	CPSF4L
NGRN	FAM111A
PSCD4	TMEM52
TRRAP	TMEM131
ATP5G2	LOC646817
ATP5G2	TIMM44
ATP5G2	C1orf50
C1orf43	LOC653458
ASPSCR1	ARD1A
ASPSCR1	EVI5L
ASPSCR1	PIN1
ASPSCR1	C14orf173
ASPSCR1	LOC729375
ASPSCR1	FIBP
ASPSCR1	PLD3
LOC650152	PAQR4
LOC650152	SUSD1
LOC650152	NFKBIE
LOC285053	EEA1
LOC285053	LOC347544
PFKFB3	C10orf10
PFKFB3	IRS2
NEK6	TMEM165
NEK6	IPW
NEK6	GLB1
ACADL	KAAG1
LOC653352	C8orf16
MRPL30	AKAP7
GON4L	DIO3OS
TMF1	ANKRD49
TMF1	TMEM77
TMF1	LOC653803
C3orf55	CIDECP
NDUFB8	RDH13
NDUFB8	NDUFS7
NDUFB8	NDUFA8
NDUFB8	C22orf28
NDUFB8	KCNT2
NDUFB8	C7orf44
LOC731640	LOC388532
LOC731640	LOC388621
LOC731640	LOC728973
LOC731640	CTAGE6
LOC731640	EXOSC10
CLDN14	LOC387703
CLDN14	PPP2R2B
HLA-DQB1	LOC649143
LOC643433	HNRNPUL2
SRM	DAP
LOC648210	ARL13B
CDC14B	LOC650909
CDC14B	LOC100129623
CDC14B	LOC100133551
CDC14B	LOC100133042
CDC14B	LOC100130592
LOC392713	LOC388237
LOC392713	LOC730236
FLOT1	LOC389000
FLOT1	FAM134A
FLOT1	RAB4B
ZBTB45	LEMD2
ZBTB45	PICK1
ZBTB45	LOC339352
ZBTB45	ASB8
RBM34	NR2F6
RBM34	YEATS4
RBM34	ELMO1
RBM34	UBTD2
RBM34	VAMP4
KIAA0408	IPP
LEPROT	GMEB1
LEPROT	VPS13A
C1orf53	LOC100129781
LILRA3	LOC100133875
BANK1	CUX1
SMEK2	SPG20
SMEK2	SLAIN2
FAM129B	DAGLB
FAM129B	BCL2
FAM129B	KIAA0368
ANKRD12	CPD
C14orf156	COX6B1
AGPAT5	PSD3
LOC730316	LOC441019
LOC730316	POM121C
LOC653147	LPP
LOC653147	ZNF350
LOC653147	HLA-E
ORMDL3	GPR146
ORMDL3	TNFAIP3
ORMDL3	C11orf82
ORMDL3	ADAMTSL3
ORMDL3	GSDMB
RANGAP1	SLC25A19
RANGAP1	IDO2
RANGAP1	BOP1
RANGAP1	FAM58A
RANGAP1	AP1B1
ING1	ZNF766
ING1	MGAT3
RABL3	TMF1
RABL3	FBXO8
RABL3	C7orf58
RABL3	UBE2G1
LOC653720	SIGLEC5
LOC653720	LOC442711
LOC653720	LOC653137
LOC653720	LY9
LOC653720	LOC643935
LOC653720	LOC100130808
LOC653720	EPHA10
LOC653720	LOC731196
CCDC59	BMP3
CCDC59	DNAL4
CCDC59	IMMP2L
CCDC59	HMGXB4
PDSS2	KIAA0391
ZNF358	PSMC3
ZNF358	ZDHHC1
ZNF358	PTPRU
MX1	MX2
ZRANB2	SUZ12
ZRANB2	MAP2K4
AP2S1	TK1
SOD1	STX8
C10orf35	C14orf79
MAP7D3	SELI
MAP7D3	ADAMTS18
PNPLA7	SLC6A16
SQSTM1	SAE1
SQSTM1	FAM50A
SQSTM1	COMMD6
SQSTM1	PSMB1
SQSTM1	HEBP1
SQSTM1	ANGPTL4
SQSTM1	MAPT
SQSTM1	PLP1
SQSTM1	SETD3
TFPI	SLIT2
TFPI	NCOA7
C20orf127	GADD45G
C20orf127	MTE
PUS1	MOBKL2B
EDG4	XPO6
EDG4	LPAR2
GPSM3	ADRBK1
GPSM3	SPI1
PLEKHA1	LOC100129979
PLEKHA1	FAM90A3
PLEKHA1	LOC100128528
TXNDC15	ZC3H3
LCP1	NCKAP1L
LCP1	RGS19
LCP1	CCR1
LCP1	CENPE
LCP1	CD72
LCP1	SLC16A6
LCP1	CTSS
LCP1	EFHD2
LCP1	LAPTM5
LCP1	ATP6V1B2
LCP1	IFI30
LCP1	SLC7A7
LCP1	FCGR1A
LCP1	CD53
LCP1	FERMT3
LCP1	HCST
LCP1	NAPSB
LCP1	PTPRE
LCP1	SOD2
STOML2	LOC729970
SREBF1	RBED1
SREBF1	DGAT2
SREBF1	DTX1
SREBF1	FLJ14213
LFNG	ABI3
ADCK2	HADHA
ADCK2	LOC100134052
ZNF337	PROM2
MCM7	RPP14
MCM7	BCS1L
MRPL22	C9orf9
EPHA10	GAPDHL6
CDC20	UBE2T
CDC20	MELK
LOC642250	RPL27
LOC642250	TIPIN
LOC642250	LOC100133931
LOC642250	LOC643863
LOC642250	LOC728658
ZNF541	UBE2D4
ZNF541	LHCGR
ZNF541	NANOS3
ZNF541	LOC728431
ZNF541	DBNDD1
ZNF541	FEN1
COX5B	MLYCD
COX5B	NDUFB8
COX5B	PITRM1
COX5B	NDUFS5
COX5B	COX8A
COX5B	ATP5E
COX5B	LOC100132663
COX5B	LOC728476
COX5B	THYN1
RIC8B	LOC100128309
B4GALT7	WDR18
B4GALT7	SPHK2
B4GALT7	PSMD8
B4GALT7	PMM2
B4GALT7	C11orf24
B4GALT7	SLC39A3
MGC87042	STEAP2
MGC87042	TSGA14
BANP	LOC654116
BANP	RBM5
DMXL1	TSN
FLAD1	POLA2
FLAD1	MED10
FLAD1	NSUN4
FLAD1	LRRC29
FLAD1	REEP4
FLAD1	SKIL
FLAD1	CYB5R2
FLAD1	ZNF252
DGCR6	DGCR6L
ARHGAP9	NOD2
ARHGAP9	KLRC3
ARHGAP9	PATL2
CENPB	SARS2
CENPB	RANGAP1
RAB1B	BOLL
RAB1B	LOC728942
P2RY13	IRF1
P2RY13	NCF4
RPF2	LOC729608
SLC25A11	LOC100129550
SLC25A11	C14orf45
NKIRAS1	PEX13
TIMM23	GOSR2
TIMM23	GCOM1
TIMM23	LOC652864
TIMM23	FAM173B
TIMM23	TUBB2C
TIMM23	PGD
TIMM23	ARPC5L
TIMM23	PPIL1
TIMM23	TXNL2
TIMM23	LOC100133673
TIMM23	ALG14
TIMM23	MECR
TIMM23	TMEM189-UBE2V1
USE1	RBM28
PNPLA4	TRMT2B
PNPLA4	FBXW7
SGIP1	RERG
DHTKD1	C11orf80
TCF3	SMARCC1
TP53BP1	CSHL1
ALG5	LOC652736
ALG5	HEATR6
ALG5	TRAPPC2
KLHL9	PGM2
DLD	KIF21A
DLD	PLEKHM2
DLD	RTCD1
INPP5A	C9orf3
INPP5A	PTP4A3
FAU	LOC729742
MED4	NSD1
CADM2	GPR68
CADM2	NLGN4X
CADM2	SOCS2
UNC119	NAB2
TMBIM4	LOC100132024
KPNA4	NSMCE4A
KPNA4	THOC7
TMEM138	TERF2IP
TMEM138	VCP
TMEM138	RAB1A
TMEM138	BRD8
TMEM138	RAI1
GRHPR	C19orf53
WSB1	ELP4
WSB1	RAD1
WSB1	C1orf63
WSB1	PPHLN1
WSB1	TSEN15
MRPL50	C21orf57
ID1	LHX6
ID1	ID3
ID1	SOX18
GTF2E2	TLE1
CASC3	RBBP6
NELF	SCRIB
CD36	TMEM163
LOC648249	LOC652624
LOC648249	RPS5
LOC648249	LOC387867
LOC648249	RPL13A
LOC648249	RPSA
LOC648249	LOC646942
LOC648249	LOC401537
LOC648249	LOC388707
LOC648249	RPS15
ZNF260	FMO4
LTBP4	SLC17A7
LTBP4	FAM101B
SPCS1	PSMG2
NUB1	CCDC93
AMT	LOC158301
SH3BP5L	SAPS1
GSDMD	RBCK1
ROBO4	PDGFB
ROBO4	SMTN
DCUN1D3	RGL1
ERRFI1	LFNG
TCEA2	SLC33A1
TCEA2	LOC255783
TCEA2	C12orf10
BRF2	SPSB1
BRF2	SREBF2
PLIN	XRCC6BP1
TUBB	LOC647000
BCL11B	P2RY8
MOSC2	LOC283953
MOSC2	IGF1
MOSC2	SCRN1
MOSC2	CHMP4B
MOSC2	PPP1R1B
LOC390466	LOC728825
LOC389787	PTGES3
LOC389787	SLC35A1
LOC389787	LOC646197
LOC389787	VPS26
LOC389787	LOC400759
LOC389787	LOC100129566
LOC389787	LOC647086
LOC389787	C19orf43
LOC389787	EIF3M
LOC389787	SUMO2
CLPTM1	EFNB1
CLPTM1	OAF
CLPTM1	CSNK1G1
CLPTM1	ELL
CLPTM1	MAPKAPK2
CLPTM1	SAC3D1
CLPTM1	PGLYRP4
CLPTM1	CITED4
CLPTM1	PNPLA2
CLPTM1	CISD1
CLPTM1	KIAA1026
IGFBP4	VAMP2
IGFBP4	C12orf31
RNF149	TXNDC3
WDR61	POLR2L
WDR61	MORN2
WDR61	FLJ45248
LASP1	PI4KB
LASP1	NAT1
MAP4K1	ERP27
MAP4K1	VAV3
MAP4K1	MCOLN2
MAP4K1	ARHGAP4
ACBD3	FLYWCH2
ACBD3	ITM2C
GAB2	WNK1
AKTIP	PNPLA4
AKTIP	ZNF828
WASL	ZBTB41
WASL	FAM38B
WASL	CCDC6
WASL	EPC1
WASL	SEPSECS
WASL	ANKRD13C
WASL	RAB3GAP2
WASL	OPA1
WASL	TCF12
WASL	VPS54
NUP214	IL17RA
NUP214	AKNA
NUP214	ARAP1
TMUB1	MYPOP
HLA-H	HLA-A29.1
MORF4L2	SPCS2
MORF4L2	XBP1
TP53I13	ELK1
TP53I13	MCM7
TP53I13	C20orf175
GSDMB	GNA14
GSDMB	WDR86
GSDMB	SLC19A3
GSDMB	MGC57346
GSDMB	ANG
GSDMB	SQLE
CDKN3	CCNB2
ATP5H	LOC220729
ATP5H	CIAPIN1
TRIM56	WDR22
TRIM56	FLT3LG
LOC151579	HOXA2
CALM3	NMRAL1
PSMB6	C9orf64
PSMB6	DDB1
ZNF679	FMO6P
ZNF679	TIMM22
ZNF679	GREB1
ZNF679	DMAP1
ZNF679	RGPD2
ZNF679	ZNF767
ZNF679	LOC100129630
ZNF679	KCNQ2
UQCRQ	C19orf70
SP2	MIER2
SLC25A19	DAGLB
PREPL	LOC645600
LYPLA1	LCAT
WHSC1L1	C15orf52
PPP2R5E	MOSPD2
PHLDB1	DCUN1D3
PHLDB1	TUBG2
PHLDB1	FAM113B
PHLDB1	TRAPPC3
PHLDB1	DNAJC13
PHLDB1	RPRC1
PHLDB1	CDR2L
PHLDB1	CRTC3
PHLDB1	ITSN1
PHLDB1	TNK2
PHLDB1	TOM1
PHLDB1	USP9X
FCGR2A	VNN1
FCGR2A	MARCH1
FCGR2A	BEST1
FCGR2A	MPEG1
FCGR2A	GLIPR1
FCGR2A	STK17B
FCGR2A	TBXAS1
FCGR2A	ATP6V0B
FCGR2A	CKLF
FCGR2A	CMTM7
ASH2L	ZNF251
BRP44L	CDC26
PLD3	M6PRBP1
PLD3	STX4
PLD3	TRAPPC1
PLD3	SLC15A3
PLD3	ITGB5
FAF1	ESYT1
ZC3HAV1	ERICH1
AP3M1	ACTR10
WDR51B	LSG1
WDR51B	THAP7
WDR51B	TSR1
INPP1	NXT1
SDHB	LMTK3
SDHB	UQCRC1
SDHB	RRAGD
SDHB	PPP2R5A
SDHB	COQ9
SDHB	DLST
SDHB	ATP5O
SDHB	FARS2
SDHB	CYC1
SDHB	C21orf33
SDHB	PPP2R2D
RANBP10	ZNF598
RANBP10	RREB1
CCDC128	KLRAQ1
COPZ2	TRMT112
COPZ2	CRY2
SLA	HPSE
SLA	PIP4K2A
SLA	PTGS1
SLA	RASSF2
SLA	RGS10
LOC283953	TSEN2
LOC283953	LOC390530
LOC283953	PTPRK
LOC283953	PABPC4L
DEGS1	LOC650276
DEGS1	RPS27A
HINFP	ZNF671
SULF2	C9orf156
SULF2	SELP
LTBR	AHCY
LTBR	DCAF7
LTBR	CYLN2
LTBR	DRAP1
LTBR	BAT5
LTBR	LOC728908
C12orf65	ATP6V1B1
LCMT2	POGK
PTGIS	F10
PTGIS	PROCR
PTGIS	SPOCK1
PTGIS	FAM180A
HRASLS3	NTNG1
LOC648000	LOC100129158
LOC648000	LOC284230
LOC652726	LOC730995
LOC652726	LOC401238
LOC652726	LOC388279
LOC652726	ANKRD36
LOC652726	ANKRD36B
SPATA18	RPS27L
SPATA18	C18orf56
SPATA18	ZMAT3
C1orf24	NUDT14
STK25	CINP
ESAM	CDH5
ESAM	SOX18
ESAM	TIE1
ESAM	ARAP3
ESAM	JAG2
FLJ30851	LOC375190
LTC4S	NRXN2
LTC4S	CYTL1
CDC37	PLSCR3
CDC37	C9orf45
CDC37	INPPL1
CDC37	TSPAN9
CDC37	VWF
CDC37	ANGPTL2
CDC37	SGSM2
CDC37	COPS7B
CDC37	ADCY4
CDC37	TYW1B
CDC37	ADAM15
CDC37	DDB1
CDC37	HYAL1
CDC37	SLC26A6
WASPIP	ZNF217
WASPIP	LOC257396
PRTN3	SAMD14
PRTN3	ZNF74
LRRC47	EGLN1
LRRC47	ARFGAP2
LRRC47	WBP1
LRRC47	STK38
LRRC47	SIVA
CWF19L2	EIF4ENIF1
PIP5K1C	IPO13
PIP5K1C	SLC38A10
PIP5K1C	GAS2L1
JOSD1	C2CD2
CRBN	NUP37
LOC401115	PPARGC1A
LOC401115	PEA15
LOC401115	C4orf48
LOC401115	USP13
TBC1D10B	IRF3
TBC1D10B	LOC642469
TBC1D10B	BCL2L1
FLJ38973	PDE4DIP
MLL	FDX1
CCND3	SLC9A3R1
CCND3	GATAD1
CCND3	PACSIN2
CCND3	SEC14L1
LOC728069	RILPL2
C1QBP	BYSL
C1QBP	ENDOG
C1QBP	MGC3196
FHL5	PPP1R3C
FHL5	EFHD1
FHL5	FHL2
FHL5	RRAD
