tissue	Module	Annotation	moduleSize	hubs.MEGENA	keyDrivers.BN	sqrtBMI.Rho	sqrtBMI.Pval	sqrtBMI.P.adj	logmatsuda.Rho	logmatsuda.Pval	logmatsuda.P.adj	logmatsuda.All.Overlap.Size	logmatsuda.All.FE	logmatsuda.All.Pvalue	logmatsuda.All.P.adj	sqrtBMI.All.Overlap.Size	sqrtBMI.All.FE	sqrtBMI.All.Pvalue	sqrtBMI.All.P.adj	CisEQTLs.Overlap.Size	CisEQTLs.FE	CisEQTLs.Pvalue	CisEQTLs.P.adj	logmatsuda.rank	Parent
adipose	M19	GO_EXTRACELLULAR_MATRIX	277	ITGB5,NQO1,MASK*,HTRA1,PSMD1,CRTAP,SYNPO,GPC1,UCHL1,LAMB2,ITIH5,CEP170B,CDC42BPB,FAM171A1,VGLL3	ITGB5,HTRA1,SYNPO,VGLL3	0.437001982214342	2.98224033260339e-37	6.28755670123882e-36	-0.399690967331235	1.04030278106838e-30	1.0527864144412e-29	233	2	6.89126021271619e-48	3.6705028080362e-46	238	2.4	3.98166996718236e-66	3.35787500565712e-64	224	1.42291152963595	1.37868515112776e-17	7.75127429411832e-16	11	M4
adipose	M379	GO_ORGANIC_ACID_METABOLIC_PROCESS	140	ACAT1,ATPAF1,HADH,PHF13,ETFA,PDK2	HADH	-0.502557438003245	1.6169783061564e-50	1.1688443184502e-48	0.573141456230344	5.26459650920681e-68	3.15158847005091e-66	135	2.3	2.56875865807126e-44	1.21855488842255e-42	135	2.7	9.81800667062291e-53	5.8446016180414e-51	117	1.47050828328991	1.17731601332491e-11	3.30956612634668e-10	12	M110
adipose	M626	GO_ORGANIC_ACID_METABOLIC_PROCESS	108	ACAT1,ATPAF1,HADH,ETFA	HADH	-0.501176443561078	3.30278921505029e-50	2.08901417851931e-48	0.577802879016949	2.44808653882739e-69	2.06455298107777e-67	105	2.3	9.12213706027195e-36	3.18331127758456e-34	106	2.7	3.8980011493304e-44	1.82066638297955e-42	90	1.46631880100133	3.77881716024407e-09	9.5604074154175e-08	13	M379
adipose	M118	GO_MITOCHONDRIAL_MATRIX	110	HIBADH,ANO6,PMM1,ANG,PCCA,ACADS,MLX	HIBADH	-0.399365224625998	7.56449500742726e-31	1.00727222993637e-29	0.504890934370502	1.00518651080934e-50	3.39082916313016e-49	106	2.3	6.3153360523024e-35	2.17879093804433e-33	93	2.3	2.02488382803047e-25	4.42269590064786e-24	85	1.35967743365578	5.70915444288468e-06	8.25380613742756e-05	14	M13
adipose	M109	GO_MITOCHONDRIAL_PART	282	NDUFV2,UQCR10,NDUFAB1,SDHB,UQCRFS1,MRPL46,TMEM126A,MRPS7,ETFB,SDHD,EMC4,IAH1,ATP5C1,PNPLA4,POLDIP2,TSG101	NDUFV2,NDUFAB1,SDHD,PNPLA4	-0.250688525836408	1.68880451424654e-12	7.12112570173959e-12	0.333001248879941	2.88538413249996e-21	1.53684670636313e-20	218	1.8	6.66627368818935e-34	2.17621579756375e-32	191	1.9	4.98955031914126e-27	1.18345896632132e-25	215	1.34152571155441	5.78723545975737e-12	1.95222742842482e-10	15	M12
adipose	M758	GO_ORGANIC_ACID_METABOLIC_PROCESS	92	ATPAF1,HADH	HADH	-0.499872030845004	6.46481818372876e-50	3.63466444551861e-48	0.576263022841618	6.7824646402958e-69	4.90275301141382e-67	91	2.4	2.43173638713311e-33	7.53342007279195e-32	91	2.7	4.30715433149188e-39	1.76709737167694e-37	76	1.45356820273176	1.30974066620199e-07	2.88142946564437e-06	16	M626
adipose	M374	GO_MITOCHONDRIAL_PART	235	NDUFV2,UQCR10,NDUFAB1,SDHB,UQCRFS1,MRPL46,TMEM126A,MRPS7,ETFB,EMC4,IAH1,ATP5C1,PNPLA4,POLDIP2	NDUFV2,NDUFAB1,PNPLA4	-0.25565925419	5.90031212553752e-13	2.55175891924956e-12	0.336893949753538	9.30284774115958e-22	5.25726964479393e-21	188	1.9	5.65816020954309e-33	1.70080934615573e-31	170	2	1.80605901022947e-29	4.60772702105603e-28	186	1.39269087822765	3.78985914192652e-13	1.47512978908832e-11	17	M109
adipose	M675	GO_IMMUNE_RESPONSE	167	FYB,EVI2B,LYN,HCK,RASSF2,LCP2,NCF2,GPR65,PRKCB,TLR8	PRKCB	0.235254331237493	3.83199569090269e-11	1.49153063045905e-10	-0.284842608178739	9.5541877681475e-16	4.35533244205643e-15	144	2	1.64203612974207e-32	4.79348239413165e-31	117	1.9	7.02818013441355e-19	1.09423358400408e-17	125	1.31705281527066	8.9846639007437e-07	1.51541331125877e-05	18	M445
adipose	M445	GO_IMMUNE_SYSTEM_PROCESS	405	ARHGAP9,CYTIP,CD48,CORO1A,FYB,EVI2B,LYN,MYO1F,HCK,RASSF2,ITGAL,LCP2,CD97,NCF2,SLA,LAT2,GPR65,FMNL1,PRKCB,PTPRC,ARPC1B,LYST,NFAM1,INPP5D,ATXN1L,NLRP1,OTUD7B,TLR8,USP15	CLEC7A,FYB,PRKCB,ATXN1L	0.195411475835451	4.59207820186351e-08	1.52867866456772e-07	-0.24246933061374	1.06755814292337e-11	3.91437985738569e-11	287	1.7	2.27164342356318e-32	6.5682946989884e-31	226	1.5	7.12947515592116e-16	8.6928058527617e-15	296	1.28601589658191	5.5265583406728e-12	1.95222742842482e-10	19	M129
adipose	M90	NA	112	GPD1L,CCDC50,SLC19A2,RPAIN,TGDS	GPD1L	-0.444655081793666	1.17596028234573e-38	2.70470864939517e-37	0.476415482648209	1.34022312602415e-44	3.08251318985555e-43	104	2.2	3.53341503787142e-30	9.49331686281205e-29	100	2.5	1.65781683066665e-31	4.61755219991188e-30	75	1.17829189366179	0.0180359895979294	0.0633764634482797	20	M11
adipose	M377	NA	80	NIPSNAP3B,ALDH6A1,SLC27A2,NAALAD2	NIPSNAP3B,ALDH6A1	-0.548768076415443	9.17768202382355e-62	2.32195355202736e-59	0.608122504780623	1.48997406307965e-78	3.76963437959151e-76	78	2.3	4.11285023169273e-27	9.83197897907018e-26	79	2.7	7.70067131483674e-34	2.48715299062174e-32	66	1.45165561299132	9.72550918415143e-07	1.58745407973568e-05	21	M110
